palavras refs  §cit  secao
     334    1     0  ## Abstract
       0    0    39  ## 1. Introduction
      64    0     0    ### 1.1 Problem Statement
      50    0     0    ### 1.2 Design Goals
      49    0     0    ### 1.3 Scope
     768   13    11    ### 1.4 Related Memory Systems and the Six Gaps
    1587   40    27    ### 1.5 Related Work
       0    0     8  ## 2. System Architecture
      56    0     0    ### 2.1 Infrastructure Overview
     174    2     0    ### 2.2 Database Schema
      84    0     4    ### 2.3 Chunk Type Taxonomy
     126    0     2    ### 2.4 Multi-Agent Memory Architecture
     395    1     1    ### 2.5 User-Facing Primitives
       0    0    31  ## 3. Memory Pipeline
     156    0     6    ### 3.1 Ingestion
      86    0     2    ### 3.2 Consolidation
      41    0     1    ### 3.3 Deduplication
     823    5    20    ### 3.4 Self-Evolution: How nox-mem Improves Over Time
     986    0     2    ### 3.5 Session Priming: the read-side of self-evolution
       0    0     7  ## 4. Hybrid Search System
     196    1     2    ### 4.1 Architecture
      52    0     0    ### 4.2 Performance Characteristics
      35    0     1    ### 4.3 Cross-Agent Search
     901    4   154  ## 5. Empirical Evaluation
       0    0    43    ### 5.1 EverMemBench + Wave A ablation series
     231    0     1      #### 5.1.1 Wave A ablation — setup and headline
     128    0     1      #### 5.1.2 Wave A — Claim 1: Additive salience outperforms multiplicative
     195    0     3      #### 5.1.3 Wave A — Claim 2: `section_boost` is the moat (99.85% of the ga
      20    0     5      #### 5.1.4 Wave A — Claims 3 & 4: `tier_boost` and `source_type` calibrati
      97    0     3      #### 5.1.5 EverMemBench Phase D — Gemini-2.5-flash headline (5-batch)
     148    0     2      #### 5.1.6 EverMemBench Phase H v2 — GPT-4.1-mini cross-backbone (5-batch)
     218    2     4      #### 5.1.7 EverMemBench Phase G — Cross-encoder rerank trade-off study (5-
      13    0     2      #### 5.1.8 EverMemBench Lab Q1 — Retrieval augmentation standalone knobs (
      22    0     6      #### 5.1.9 Wave B + Wave C composability — additive F_MH and the retrieval
